Geneid,p_value,padj
DCST1-AS1,1.997556113220227e-136,2.839696959174025e-136
DCST2,1.3837965514773665e-173,2.292949391955012e-173
DCSTAMP,1.201859313591038e-132,1.6850328118450894e-132
DCT,9.258900042901567e-09,9.309848658737255e-09
DCTD,0.0,0.0
DCTN1,3.5754421512497696e-110,4.609753616887372e-110
DCTN1-AS1,0.0,0.0
DCTN2,0.0,0.0
DCTN3,0.0,0.0
DCTN4,1.069118772746173e-276,2.846697192518548e-276
DCTN5,5.767964111500803e-295,1.706084348704965e-294
DCTN6,1.506853403515936e-136,2.1429149328320514e-136
DCTPP1,9.733240576486691e-129,1.3403799930200943e-128
DCUN1D1,4.9868738571638944e-139,7.174317900983598e-139
DCUN1D2,0.0,0.0
DCUN1D3,0.0,0.0
DCUN1D4,9.475594791337427e-227,1.967409996174163e-226
DCUN1D5,3.4764856772412e-109,4.466414052385547e-109
DCX,7.160458163889612e-193,1.2775078556016616e-192
DCXR,6.067084016491808e-154,9.291508739903378e-154
DDA1,0.0,0.0
DDAH1,2.7173833822807364e-145,4.0165009304507724e-145
DDAH2,0.0,0.0
DDB1,9.083967143286144e-131,1.2621402420313813e-130
DDB2,3.642721256485935e-102,4.579807470612797e-102
DDC,4.392360323828729e-214,8.611180525871308e-214
DDC-AS1,0.0,0.0
DDHD1,1.826635295892188e-123,2.462465662663021e-123
DDHD2,1.3857471539781575e-177,2.328864414101686e-177
DDI1,0.0,0.0
DDI2,0.0,0.0
DDIAS,1.0020253323700996e-113,1.3062298297185583e-113
DDIT3,4.176220050783421e-230,8.809279931217362e-230
DDIT4,1.936721686951504e-220,3.906700553738517e-220
DDIT4L,3.5977606529981986e-76,4.206949785405309e-76
DDN,1.4078430955324243e-70,1.622656158967688e-70
DDO,4.5282248542705836e-10,4.5595140839992094e-10
DDOST,7.024077732062157e-101,8.798344252380127e-101
DDR1,2.2414509550740596e-152,3.412269689872067e-152
DDR2,6.906876193641043e-88,8.33808292168579e-88
DDRGK1,2.690387349707e-311,8.796290590692e-311
DDT,1.260214991544844e-65,1.432141656728948e-65
DDTL,2.9193031664992536e-141,4.2422390876974763e-141
DDX1,6.319918984417136e-219,1.2638740093565547e-218
DDX10,4.130632590726109e-214,8.098755409084384e-214
DDX11,2.06907869731805e-152,3.1504839578765154e-152
DDX11-AS1,7.561120229621076e-41,8.087676291140332e-41
DDX11L1,0.0,0.0
DDX11L10,0.0,0.0
DDX11L2,1.5397051354476573e-63,1.739714925580157e-63
DDX11L5,0.0,0.0
DDX11L9,0.0,0.0
DDX12P,2.2967154397192106e-166,3.6991658820633164e-166
DDX17,0.0,0.0
DDX18,1.60052968629431e-145,2.3675294248146604e-145
DDX19A,4.662487747271834e-136,6.619950536086995e-136
DDX19B,1.209739174301762e-134,1.7087751379830531e-134
DDX20,1.748289904206485e-141,2.5440921978542605e-141
DDX21,1.3122220316175041e-133,1.8463973633173266e-133
DDX23,3.752942776220073e-198,6.850147017574992e-198
DDX24,0.0,0.0
DDX25,2.1927071220106625e-32,2.2986335553965075e-32
DDX27,5.2210293279873855e-120,6.948897580645215e-120
DDX28,9.157881435762017e-194,1.6399709277201889e-193
DDX31,7.265936527741645e-119,9.633244420979133e-119
DDX39A,2.424504292151181e-267,6.130893665292565e-267
DDX39B-AS1,0.0,0.0
DDX3X,5.739672563854796e-146,8.512091536888428e-146
DDX3Y,1.0739582049733535e-56,1.1937247133004966e-56
DDX4,0.0,0.0
DDX41,1.6697897623873885e-257,4.009306443759227e-257
DDX42,2.3821627947122643e-149,3.586641131667223e-149
DDX43,1.6208638246992324e-99,2.0230264378964127e-99
DDX46,1.0053590172992e-196,1.8230594639912408e-196
DDX47,0.0,0.0
DDX49,1.811816426975702e-201,3.360069384993038e-201
DDX5,0.0,0.0
DDX50,2.5438752657037746e-200,4.689741702102947e-200
DDX51,0.0,0.0
DDX52,1.3738392913674967e-204,2.583410310719147e-204
DDX53,0.0,0.0
DDX54,1.2561822935069257e-308,4.03830509993067e-308
DDX55,8.362941300842215e-157,1.2974956907721774e-156
DDX56,4.488900042696938e-300,1.3687251302218818e-299
DDX58,2.560850425647553e-143,3.754761523282765e-143
DDX59,4.284387485373852e-163,6.819477183771003e-163
DDX6,3.837252827351436e-138,5.500149978020262e-138
DDX60,8.990960653971053e-175,1.496586741592174e-174
DDX60L,4.1769488313620474e-141,6.064451374276692e-141
DEAF1,6.23602323959605e-99,7.76476118481745e-99
DECR1,4.5725963881554955e-91,5.572700573835069e-91
DECR2,1.260386293661459e-255,3.0003240307342256e-255
DEDD,0.0,0.0
DEDD2,0.0,0.0
DEF6,2.0839793319899615e-180,3.5368966636987228e-180
DEF8,0.0,0.0
DEFA3,5.4511856457414443e-92,6.657901347809189e-92
DEFA4,4.014766343878035e-173,6.643379351836127e-173
DEFA5,0.0,0.0
DEFA6,0.0,0.0
DEFB1,3.992641959651741e-103,5.033763469445937e-103
DEFB103A,0.0,0.0
DEFB103B,0.0,0.0
DEFB104B,0.0,0.0
DEFB106A,0.0,0.0
DEFB108B,0.0,0.0
DEFB110,0.0,0.0
DEFB112,0.0,0.0
DEFB114,0.0,0.0
DEFB115,0.0,0.0
DEFB116,0.0,0.0
DEFB118,0.0,0.0
DEFB119,0.0,0.0
DEFB121,0.0,0.0
DEFB122,0.0,0.0
DEFB123,0.0,0.0
DEFB124,1.79279698934804e-84,2.143053729440282e-84
DEFB125,0.0,0.0
DEFB126,0.0,0.0
DEFB127,0.0,0.0
DEFB128,0.0,0.0
DEFB129,0.0,0.0
DEFB132,6.7410041772716476e-279,1.8161113992218862e-278
DEFB133,0.0,0.0
DEFB134,0.0,0.0
DEFB135,0.0,0.0
DEFB136,0.0,0.0
DEFB4A,1.6340681207076049e-193,2.922384993876953e-193
DEFB4B,0.0,0.0
DEGS1,1.1443046606012235e-283,3.1677853199089296e-283
DEGS2,2.2094288739198753e-144,3.252966517018238e-144
DEK,1.9369213485320053e-118,2.5644437681771643e-118
DENND1A,1.1860120544054684e-82,1.4104729252544524e-82
DENND1B,1.660314422770915e-148,2.4893904187208614e-148
DENND1C,3.949871547679432e-117,5.2076872538379e-117
DENND2A,7.700225461549718e-111,9.950050007111949e-111
DENND2C,4.1045136650098216e-159,6.429166788433644e-159
DENND2D,2.8768721153784236e-82,3.417983569042408e-82
DENND3,1.3553983047740568e-227,2.8269490505587356e-227
DENND4A,9.929540410557823e-182,1.693841138124645e-181
DENND4B,4.2977087117182766e-308,1.3760317810958364e-307
DENND4C,2.8911423003668167e-195,5.20817309472229e-195
DENND5A,6.455505363328154e-104,8.156709224303996e-104
DENND5B,1.6226582988660737e-60,1.8211994088472498e-60
DENND5B-AS1,0.0,0.0
DENND6A,1.5861820641585901e-142,2.3166871254242184e-142
DENND6B,1.5245521334082727e-198,2.7875864294466384e-198
DENR,5.465642348351293e-170,8.938202246497633e-170
DEPDC1,9.975983966380917e-158,1.553724242995023e-157
DEPDC1-AS1,0.0,0.0
DEPDC1B,1.9287336242990123e-161,3.0495236207842644e-161
DEPDC4,0.0,0.0
DEPDC5,1.8665704144091806e-212,3.63309808279288e-212
DEPDC7,4.2832625205881226e-30,4.466994441002896e-30
DEPTOR,8.534150020227369e-47,9.251389899040206e-47
DERA,5.0694591024172246e-164,8.099876917005842e-164
DERL1,1.1056157986216934e-186,1.9235074918744045e-186
DERL2,1.88501085917427e-303,5.865723749375374e-303
DERL3,7.98659127095294e-88,9.640519944553869e-88
DES,2.5450900605970926e-196,4.609309648012858e-196
DESI1,1.18344397900936e-309,3.825300319066614e-309
DESI2,3.089333526092345e-285,8.643676644154838e-285
DET1,1.565440513467971e-115,2.0532472588633112e-115
DEUP1,1.13267241093456e-310,3.68654927754556e-310
DFFA,1.170970935820499e-225,2.4181930959127427e-225
DFFB,3.065692075928026e-119,4.069443318314608e-119
DGAT1,0.0,0.0
DGAT2,5.963297837689746e-167,9.628933965563413e-167
DGAT2L6,2.5070397475868224e-176,4.1955286486726994e-176
DGCR11,2.4729936157104633e-289,7.072190412137339e-289
DGCR2,0.0,0.0
DGCR5,2.1198775890193094e-29,2.207610548174073e-29
DGCR6,4.143779146172238e-153,6.32500471104943e-153
DGCR6L,5.793108392188937e-264,1.4413283728307551e-263
DGCR8,1.0126128296497634e-120,1.3511676493686558e-120
DGKA,8.561295879278244e-132,1.1955800104597702e-131
DGKB,1.0721799942039056e-178,1.8079590000403342e-178
DGKD,9.175915878986092e-136,1.3016221255484923e-135
DGKE,2.639527017204047e-262,6.511568632176789e-262
DGKG,2.575945607425669e-91,3.141343838208083e-91
DGKH,4.225159716347685e-94,5.190208467651341e-94
DGKI,2.7912813896433374e-178,4.6988712959821746e-178
DGKK,0.0,0.0
DGKQ,0.0,0.0
DGKZ,5.970893961450543e-307,1.896714439410007e-306
DGUOK,6.033629690348872e-260,1.468170471259696e-259
DGUOK-AS1,3.0830819137814195e-94,3.788486843299536e-94
DHCR24,1.0962764888143026e-231,2.327401556335685e-231
DHCR7,1.5856638925706015e-211,3.0741264283046086e-211
DHDDS,2.663245142661649e-222,5.42354114316662e-222
DHDH,1.999276680569261e-109,2.570578337712998e-109
DHFR,4.137240660497448e-14,4.192413580709179e-14
DHFR2,3.460743846853188e-103,4.3641234708044584e-103
DHFRP3,0.0,0.0
DHH,3.125855582030705e-74,3.635200470788714e-74
DHODH,3.682725722235243e-148,5.512357107576664e-148
DHPS,4.072508584654048e-303,1.264366742894752e-302
DHRS1,0.0,0.0
DHRS11,8.322905566753069e-176,1.3905128638627285e-175
DHRS12,2.1275978407356827e-268,5.413993444418474e-268
DHRS13,0.007221050588690422,0.007226072181589372
DHRS2,3.6292461824014695e-235,7.8386270266052e-235
DHRS3,1.0931614464311514e-306,3.468708536746255e-306
DHRS4,6.548336541265058e-246,1.4884875163005895e-245
DHRS4-AS1,3.3596047292215343e-253,7.90753826268622e-253
DHRS4L1,3.149073115509917e-185,5.447352322426772e-185
DHRS4L2,2.382225841593e-311,7.793175302193e-311
DHRS7,1.8145611221020783e-162,2.879882489507014e-162
DHRS7B,0.0,0.0
DHRS7C,0.0,0.0
DHRS9,1.3440641720449533e-61,1.5119080270257478e-61
DHTKD1,3.3607260622185234e-104,4.2501019914599187e-104
DHX15,1.2005299929662928e-144,1.7698170417502834e-144
DHX16,0.0,0.0
DHX29,9.43249355773843e-143,1.3789683895699385e-142
DHX30,0.0,0.0
DHX32,1.8091098925860439e-277,4.839426765063445e-277
DHX33,1.0393288140064617e-206,1.9729166966513952e-206
DHX34,1.485150819718886e-182,2.5400469821131803e-182
DHX35,1.963799320147888e-138,2.819035821876985e-138
DHX36,2.171511185825414e-267,5.492954684953233e-267
DHX37,1.421330224225021e-152,2.1654782346848122e-152
DHX38,6.322107454394704e-227,1.3138388124377982e-226
DHX40,1.7796324218112853e-207,3.3896638715902575e-207
DHX57,3.4499486024193618e-292,1.0041923719608519e-291
DHX58,5.519837719433946e-280,1.4953376120984489e-279
DHX8,1.0115344280100504e-139,1.4600695047648048e-139
DHX9,1.6305536220520944e-293,4.7872821466625123e-293
DIABLO,0.0,0.0
DIAPH1,2.581991544690048e-175,4.305313827125121e-175
DIAPH2,3.844541150472749e-157,5.973190866352964e-157
DIAPH2-AS1,4.1174223093278325e-179,6.952151015691113e-179
DIAPH3,1.8867018391498761e-255,4.488007350406731e-255
DIAPH3-AS1,0.0,0.0
DIAPH3-AS2,0.0,0.0
DICER1,1.972684539316783e-216,3.9029895018672866e-216
DICER1-AS1,0.0,0.0
DIDO1,9.115127116027524e-182,1.555259276118406e-181
DIMT1,0.0,0.0
DIO1,3.4143174755570617e-258,8.228959024099842e-258
DIO2,8.322237404922034e-106,1.0571068851976437e-105
DIO2-AS1,0.0,0.0
DIO3,0.0,0.0
DIO3OS,0.0,0.0
DIP2A,1.2849149731714788e-139,1.8530461849232774e-139
DIP2A-IT1,0.0,0.0
DIP2B,1.8448337381644048e-137,2.634299924801368e-137
DIP2C,2.3393290088739203e-76,2.737381129310487e-76
DIRAS1,2.1285174293183957e-94,2.6170557135868174e-94
DIRAS2,1.0268389894564939e-37,1.0898419256555716e-37
DIRAS3,9.602550480458731e-224,1.9675102096830277e-223
DIRC1,0.0,0.0
DIRC3,1.689059209181543e-207,3.217681551563449e-207
DIRC3-AS1,0.0,0.0
DIS3,3.9044056890832157e-193,6.972931786026369e-193
DIS3L,2.599425532684772e-146,3.858996290188548e-146
DIS3L2,1.2055160401993156e-127,1.6547905150866896e-127
DISC1,0.0,0.0
DISC1-IT1,0.0,0.0
DISC1FP1,0.0,0.0
DISC2,0.0,0.0
DISP1,6.625724700791763e-116,8.700278630719149e-116
DISP2,1.2756370370462869e-138,1.831749229197562e-138
DISP3,3.5698627655289794e-290,1.0262519704524811e-289
DIXDC1,6.890721286406038e-146,1.0215180406812994e-145
DKC1,7.744146796042918e-177,1.2983414827939426e-176
DKFZP434A062,7.825348575118513e-226,1.6176227832063984e-225
DKK1,1.0287355381030599e-58,1.1498983896147612e-58
DKK2,2.018745273461801e-126,2.755979316702313e-126
DKK3,4.863409521881507e-282,1.3325614760418876e-281
DKK4,6.212616096975239e-180,1.052610736748531e-179
DKKL1,3.170677507185254e-274,8.328771126689479e-274
DLAT,7.25183553612894e-223,1.4803285874974083e-222
DLC1,2.2054080844253309e-60,2.4745280573006246e-60
DLD,1.191423940389182e-266,3.0009128983175284e-266
DLEC1,2.7210569918180914e-34,2.864244327692577e-34
DLEU1,2.1988903367844274e-190,3.88096980560557e-190
DLEU1-AS1,0.0,0.0
DLEU2,1.6105902997556502e-11,1.6255580861640406e-11
DLEU2L,2.810297883509449e-63,3.1731792687912096e-63
DLEU7,3.0038852342677906e-272,7.81044083950103e-272
DLEU7-AS1,0.0,0.0
DLG1,3.803406429754981e-169,6.200058739640235e-169
DLG1-AS1,2.591499104882699e-206,4.909221276190493e-206
DLG2,5.854091484753288e-167,9.453261491440574e-167
DLG3,4.328198166135388e-112,5.61643659905885e-112
DLG3-AS1,0.0,0.0
DLG4,1.7567772599531327e-183,3.014910527218316e-183
DLG5,4.6801336671534994e-101,5.865516169644666e-101
DLG5-AS1,7.537775986984181e-51,8.255232570248004e-51
DLGAP1,3.04220636116504e-83,3.624515356246514e-83
DLGAP1-AS1,2.8532184667666626e-31,2.9835817049157797e-31
DLGAP1-AS2,8.85917350257753e-193,1.5798436273204637e-192
DLGAP1-AS3,0.0,0.0
DLGAP1-AS4,0.0,0.0
DLGAP1-AS5,1.9120244991668803e-145,2.827752573793567e-145
DLGAP2,6.868227556267101e-46,7.429366749142294e-46
DLGAP2-AS1,0.0,0.0
DLGAP3,1.0050971547755646e-132,1.4097689242493206e-132
DLGAP4,0.0,0.0
DLGAP4-AS1,1.4055359833114924e-96,1.7379731729196456e-96
DLGAP5,2.6265593616562686e-222,5.3493058595996393e-222
DLK1,2.499015834862156e-50,2.7340147579884193e-50
DLK2,8.956614774898282e-41,9.579017956951785e-41
DLL1,0.0,0.0
DLL3,0.0,0.0
DLL4,1.684556937321038e-198,3.079415555766541e-198
DLST,0.0,0.0
DLSTP1,6.155509559951979e-266,1.545691483349704e-265
DLX1,1.650648752350984e-98,2.0534113288377487e-98
DLX2,2.9051612895741306e-104,3.6745829550708555e-104
DLX3,1.985954360224146e-76,2.324468160734113e-76
DLX4,5.211530413991001e-75,6.073919324309229e-75
DLX5,5.169118974510878e-62,5.819460919717298e-62
DLX6,5.147934883339573e-21,5.278616404828107e-21
DLX6-AS1,2.8107316822677623e-48,3.0583311083427675e-48
DMAP1,0.0,0.0
DMBT1,4.679342525501196e-78,5.499600934514524e-78
DMBX1,7.836323107829823e-303,2.428637814439007e-302
DMC1,1.0375579890363632e-226,2.1538846938574724e-226
DMD,5.237202835911369e-94,6.431691812141208e-94
DMGDH,6.122065829936131e-16,6.219584506395865e-16
DMKN,3.931945930255629e-154,6.027639862720928e-154
DMP1,0.0,0.0
DMPK,0.0,0.0
DMRT1,0.0,0.0
DMRT2,1.5751499660307523e-43,1.694922317048747e-43
DMRT3,8.46216612372627e-26,8.744352265727465e-26
DMRTA1,1.2507442677674037e-09,1.2586710966859e-09
DMRTA2,6.983051444962913e-147,1.039623514185749e-146
DMRTB1,0.0,0.0
DMRTC1,0.0,0.0
DMRTC1B,0.0,0.0
DMRTC2,0.0,0.0
DMTF1,1.1016815958833138e-118,1.4600309136946653e-118
DMTN,5.473880316394494e-293,1.60120213955872e-292
DMWD,0.0,0.0
DMXL1,5.496391818640095e-196,9.93475625941039e-196
DMXL2,4.508270151934115e-205,8.495532163867333e-205
DNA2,1.0753838940797717e-200,1.9871299179207593e-200
DNAAF1,3.317830676127787e-97,4.11205972369953e-97
DNAAF2,9.005593301624278e-301,2.7572444172419863e-300
DNAAF3,1.1373807794226542e-19,1.1633003893841762e-19
DNAAF5,7.831431810201148e-132,1.0939203178915928e-131
DNAH1,1.0228161234368527e-40,1.0937401154618965e-40
DNAH10,1.9233152730804792e-193,3.437808465756149e-193
DNAH11,1.4506059286005236e-25,1.4982393190426368e-25
DNAH12,1.0460197768194936e-163,1.6694551047755454e-163
DNAH14,0.0,0.0
DNAH17,1.7444952919036077e-135,2.47155618736008e-135
DNAH17-AS1,0.0,0.0
DNAH2,2.2771881634711834e-138,3.2672761435633154e-138
DNAH3,2.1767379234831962e-67,2.4863429057040785e-67
DNAH5,5.336471335829481e-135,7.545253993867476e-135
DNAH6,1.3738910665674189e-142,2.0073910341825265e-142
DNAH7,1.2294855919607075e-157,1.9141034734805144e-157
DNAH8,9.184544692585726e-163,1.459889244060019e-162
DNAH9,4.725586435584052e-25,4.876166454214459e-25
DNAI1,1.622096171684471e-186,2.820355101711468e-186
DNAI2,1.555027504606105e-192,2.769411607831912e-192
DNAJA1,1.351205784238789e-129,1.8690394698896892e-129
DNAJA1P5,0.0,0.0
DNAJA2,0.0,0.0
DNAJA3,1.8292468659019636e-275,4.8382056106291564e-275
DNAJA4,5.294793575840775e-124,7.153346279201854e-124
DNAJB1,4.945145798040192e-284,1.3721021553877727e-283
DNAJB11,2.475720087824008e-108,3.1686574741264084e-108
DNAJB12,0.0,0.0
DNAJB13,1.6858917737314324e-292,4.9165259275987964e-292
DNAJB14,1.6638846864650823e-272,4.332158885126321e-272
DNAJB2,0.0,0.0
DNAJB3,2.359279787069991e-286,6.63815933245747e-286
DNAJB4,7.120869410005238e-188,1.245543548552462e-187
DNAJB5,5.608905862972524e-152,8.52630718269374e-152
DNAJB6,0.0,0.0
DNAJB7,6.913531644665879e-283,1.9031223408272025e-282
DNAJB8,0.0,0.0
DNAJB9,3.4685230892095796e-108,4.4378591612093e-108
DNAJC1,2.987127637486856e-96,3.690867592867735e-96
DNAJC10,2.239793466385106e-213,4.376931316419172e-213
DNAJC11,2.983686437914535e-141,4.335251580622507e-141
DNAJC12,8.472897410907235e-110,1.0908073696529196e-109
DNAJC13,4.169678597810308e-273,1.0898249521623853e-272
DNAJC14,6.751273222548688e-218,1.3438343103307773e-217
DNAJC15,9.73767335815664e-78,1.1434701453470621e-77
DNAJC16,5.320312158363176e-145,7.854248982697729e-145
DNAJC17,2.9670495294402078e-291,8.582078940431072e-291
DNAJC18,3.9124552900556134e-301,1.201391979170985e-300
DNAJC19,4.719062941089703e-250,1.0940661076996205e-249
DNAJC2,2.3570454400261266e-227,4.9111868064399585e-227
DNAJC21,4.469586097610379e-218,8.905135887104653e-218
DNAJC22,1.6836595543681702e-202,3.134517472286953e-202
DNAJC24,3.087991411993328e-201,5.720784862386094e-201
DNAJC25,7.347225379000181e-227,1.5264619845343816e-226
DNAJC27,0.0,0.0
DNAJC27-AS1,1.2171079109542007e-98,1.5144945436853222e-98
DNAJC28,3.1152960838188445e-93,3.819306551322954e-93
DNAJC3,1.6119138036140097e-131,2.24775624822294e-131
DNAJC30,1.6589172949919553e-149,2.4998306040902403e-149
DNAJC4,7.467001722790538e-296,2.2197578781863056e-295
DNAJC5,9.810416198363498e-284,2.7171300679793236e-283
DNAJC5B,4.5732656065103925e-237,9.967329356711027e-237
DNAJC5G,2.1077160998710295e-275,5.5740932096750037e-275
DNAJC6,2.8312836545358773e-18,2.8879795703541573e-18
DNAJC7,4.812734954471679e-227,1.0008888952376114e-226
DNAJC8,1.8496331850554415e-156,2.8640765655199733e-156
DNAJC9,4.711690375801371e-198,8.596716000669686e-198
DNAJC9-AS1,8.712340984993244e-193,1.5537795417388417e-192
DNAL1,1.3914200331220642e-37,1.4763158913641661e-37
DNAL4,0.0,0.0
DNALI1,1.4243534311917722e-29,1.4837041758928364e-29
DNASE1,0.0,0.0
DNASE1L1,1.4368395938335906e-153,2.1962288261584406e-153
DNASE1L2,2.5704355251754675e-23,2.64558370727045e-23
DNASE1L3,2.8172097281593576e-157,4.3794096807198057e-157
DNASE2,2.7093116313699178e-99,3.3778735582748138e-99
DNASE2B,1.53355934035084e-158,2.39429512797435e-158
DNER,5.66814177111354e-63,6.395966287890519e-63
DNHD1,1.464708764292283e-78,1.7241911441825003e-78
DNLZ,1.5792373510762295e-262,3.901744905159256e-262
DNM1,5.940158334282846e-166,9.557386826591771e-166
DNM1L,1.3884604415757527e-274,3.65389338288263e-274
DNM1P35,1.4312987148963626e-28,1.4872380906116912e-28
DNM1P41,0.0,0.0
DNM1P46,2.5224096802628393e-178,4.246870967339789e-178
DNM1P50,0.0,0.0
DNM2,5.41680792007032e-147,8.069659369246138e-147
DNM3,1.3671433225800978e-51,1.5001957801488977e-51
DNM3-IT1,0.0,0.0
DNM3OS,1.313210396163291e-206,2.4913774028727432e-206
DNMBP,5.051396484306403e-202,9.382329191244807e-202
DNMBP-AS1,6.710057607890147e-283,1.8477737873946026e-282
DNMT1,8.029401260868139e-220,1.613026216126237e-219
DNMT3A,4.726372950424468e-82,5.611882358340104e-82
DNMT3B,3.859334220847623e-170,6.312233508616586e-170
DNMT3L,0.0,0.0
DNPEP,0.0,0.0
DNPH1,2.6862641609552996e-140,3.888867331604302e-140
DNTT,0.0,0.0
DNTTIP1,6.267979433070375e-172,1.0320672135236523e-171
DNTTIP2,1.655944806767439e-160,2.6076515444233303e-160
DOC2A,2.0045709341983534e-47,2.1766289940097572e-47
DOC2B,0.0,0.0
DOC2GP,1.128858481265599e-305,3.562829016128739e-305
DOCK1,1.7326727940506552e-205,3.2707270976651867e-205
DOCK10,7.968948516528755e-179,1.3444498471792926e-178
DOCK11,1.5451917179871542e-73,1.7932604523885398e-73
DOCK2,1.0541938578183401e-113,1.3740805809787965e-113
DOCK3,8.000229364010824e-75,9.317480948807993e-75
DOCK4,2.192120684647243e-84,2.6193049272571556e-84
DOCK4-AS1,4.157384260109921e-177,6.974614923110669e-177
DOCK5,1.0313343661549724e-123,1.3918782207709311e-123
DOCK6,7.3283697022865215e-301,2.2446239726678844e-300
DOCK7,5.497786532316055e-279,1.482213549415045e-278
DOCK8,2.2512956851183047e-171,3.6992457789154904e-171
DOCK9,1.162522997445997e-189,2.0446054154149135e-189
DOCK9-AS1,0.0,0.0
DOHH,0.0,0.0
DOK1,1.5877092571293874e-34,1.6719455697103465e-34
DOK2,7.10120477244063e-59,7.9391152122304095e-59
DOK3,8.213675771747901e-163,1.3060198271320696e-162
DOK4,0.0,0.0
DOK5,1.8027154653451065e-52,1.9830731425755246e-52
DOK6,8.348888617325761e-14,8.456132831484617e-14
DOK7,1.6592603286667704e-10,1.672334521415852e-10
DOLK,1.8084599987955234e-163,2.882518727052138e-163
DOLPP1,7.744459407124131e-233,1.6534535737168583e-232
DONSON,7.037197145742426e-120,9.359622614728993e-120
DOT1L,1.510413982665602e-227,3.149408760812608e-227
DPAGT1,2.2593336915231774e-135,3.1993910396475576e-135
DPCD,3.398689457411148e-96,4.198488360737969e-96
DPEP1,1.4491389912641943e-35,1.529310910522382e-35
DPEP2,8.993465525605098e-39,9.5717445690164e-39
DPEP3,3.1890547510625157e-234,6.858925416951272e-234
DPF1,1.98835373053727e-163,3.168594704588186e-163
DPF2,8.705703817599258e-171,1.4277379065204454e-170
DPF3,2.0300929911943063e-10,2.0455519050003372e-10
DPH1,4.500441818676588e-304,1.4068998293714836e-303
DPH2,1.4093668851281485e-236,3.064431312039899e-236
DPH3,0.0,0.0
DPH5,1.0491836700818902e-170,1.7199291434649654e-170
DPH6,8.441272111910709e-87,1.0156877402907352e-86
DPH7,0.0,0.0
DPM1,1.2488040923624e-287,3.5400720786200317e-287
DPM2,3.057149975438941e-259,7.406125950600397e-259
DPM3,9.266035852697638e-236,2.0060292381054104e-235
DPP10,2.7984750754236754e-169,4.565119040424735e-169
DPP10-AS1,2.4294558432653285e-247,5.5668582141063816e-247
DPP3,8.620382999274483e-113,1.1206351881615702e-112
DPP4,3.123326924907714e-06,3.132988242019571e-06
DPP6,3.2103836171556076e-52,3.529214686850206e-52
DPP7,3.7553942626062374e-269,9.596470311015096e-269
DPP8,2.5228963059780354e-188,4.421982684899382e-188
DPP9,7.894043860083611e-269,2.013208527188359e-268
DPP9-AS1,7.543226712645103e-102,9.474401387373348e-102
DPPA2,0.0,0.0
DPPA2P3,0.0,0.0
DPPA3,0.0,0.0
DPPA4,0.0,0.0
DPPA5,0.0,0.0
DPRX,8.166516254701042e-259,1.9740248844959245e-258
DPRXP4,4.533078596900908e-234,9.743241375564462e-234
DPT,0.0,0.0
DPY19L1,3.605302113322921e-85,4.317960666726328e-85
DPY19L1P1,4.636548702997827e-166,7.463601855402501e-166
DPY19L1P2,0.0,0.0
DPY19L2,2.1094603382935146e-49,2.3020293311626635e-49
DPY19L2P1,2.379731405495035e-299,7.23312684886042e-299
DPY19L2P2,9.418985856347389e-247,2.1512025628066886e-246
DPY19L2P3,2.2154321585520694e-137,3.162901346716863e-137
DPY19L2P4,2.153498050008738e-262,5.317689736529513e-262
DPY19L3,3.0289292397349864e-121,4.047714134056436e-121
DPY19L4,4.01595781539479e-227,8.357141426396388e-227
DPY30,1.4764842925067277e-116,1.9422141547548934e-116
DPYD,7.553007182078629e-116,9.914506120876759e-116
DPYD-AS1,0.0,0.0
DPYD-AS2,0.0,0.0
DPYS,5.121856027809476e-192,9.099900701002036e-192
DPYSL2,2.71387872231201e-145,4.0118358717503516e-145
DPYSL3,1.650979357862055e-241,3.675512351132852e-241
DPYSL4,3.231631897845497e-13,3.2695475157531625e-13
DPYSL5,5.645500470888117e-283,1.5555529301307803e-282
DQX1,1.893701756430572e-32,1.985635724567697e-32
DR1,0.0,0.0
DRAIC,5.262118197717456e-138,7.537796888212948e-138
DRAM1,1.0329720864225845e-46,1.119154360632139e-46
DRAM2,2.01355144849815e-138,2.890274847270661e-138
DRAP1,7.01209847662489e-295,2.0732831042225694e-294
DRAXIN,2.0287806806453816e-143,2.975958613097558e-143
DRC1,4.6096983383563085e-188,8.070389669402757e-188
DRC3,8.720975255832811e-11,8.792001676604547e-11
DRC7,1.4429791666103812e-220,2.9125232166246533e-220
DRD1,9.831198011154373e-110,1.2654637614402543e-109
DRD2,2.3914759597712526e-56,2.6566314048911184e-56
DRD3,0.0,0.0
DRD4,1.3348786932750111e-61,1.501722223881748e-61
DRD5,0.0,0.0
DRG1,1.768341754091727e-121,2.3662850485997864e-121
DRG2,5.308514200362182e-300,1.6184220199833008e-299
DRGX,2.4619779584724785e-129,3.401619090006622e-129
DRICH1,2.566155968309334e-182,4.385953159702628e-182
DROSHA,8.442835006328317e-268,2.1417786820813483e-267
DRP2,2.273533940241387e-80,2.6888147442016485e-80
DSC1,1.5947456166476292e-38,1.6964250174503334e-38
DSC2,4.391848288377597e-72,5.075436178868935e-72
DSC3,1.1948655692055915e-84,1.4291955356324762e-84
DSCAM,2.1644938261940143e-272,5.631744361429651e-272
DSCAML1,0.0002823397618805835,0.00028280652038364896
DSCAS,0.0,0.0
DSCC1,3.647971861835931e-194,6.544915775493686e-194
DSCR10,0.0,0.0
