Geneid,p_value,padj
ABO,1.3123398095108304e-299,3.992509483902928e-299
ABR,1.4924716233585778e-304,4.6783753105797e-304
ABRA,6.589142984363836e-208,1.2580514808192468e-207
ABRACL,2.613123677083747e-153,3.9910155582869777e-153
ABT1,5.62967114349516e-268,1.4295527562350563e-267
ABTB1,0.0,0.0
ABTB2,6.347168781338799e-101,7.952180117622274e-101
ACAA1,6.7042647682522695e-236,1.4525170981861322e-235
ACAA2,2.4571021317709323e-149,3.69922967906192e-149
ACACA,7.247441953296089e-205,1.3643916887382596e-204
ACACB,1.664188960596551e-131,2.320511544862827e-131
ACAD10,1.1991042126130197e-112,1.5582872603263624e-112
ACAD11,0.0,0.0
ACAD8,2.448022751707291e-284,6.802229765303966e-284
ACAD9,4.5779302440878797e-154,7.016059771009742e-154
ACADL,4.264750659730946e-68,4.881512263964469e-68
ACADM,3.628814766939939e-203,6.777241336309633e-203
ACADS,1.1965927465393447e-230,2.5291794176371865e-230
ACADSB,1.3767725664060299e-120,1.836015729448736e-120
ACADVL,5.654593863194625e-138,8.09950037988012e-138
ACAN,3.204124201168834e-191,5.674750431362403e-191
ACAP1,2.3744108939931926e-35,2.5042801843013865e-35
ACAP2,2.709116457233936e-131,3.7734239147824645e-131
ACAP3,0.0,0.0
ACAT1,8.830010242767323e-110,1.1366552377808053e-109
ACAT2,1.3664822297046545e-158,2.134166792614297e-158
ACBD3,8.915262059909051e-212,1.7302958245582566e-211
ACBD3-AS1,8.564737252095875e-204,1.604250817541941e-203
ACBD4,2.873254155992588e-168,4.670229699087423e-168
ACBD5,1.8122782065258332e-221,3.674024251743487e-221
ACBD6,2.0202386640357967e-173,3.3453664413665265e-173
ACBD7,0.0,0.0
ACCS,1.9715672032507173e-191,3.4955616269555304e-191
ACCSL,0.0,0.0
ACD,2.479101727082533e-307,7.899091913139806e-307
ACE,7.454236989538612e-38,7.914154405936411e-38
ACE2,3.0151974336526116e-10,3.0373602429304223e-10
ACER1,3.3515566040393314e-41,3.5881260695341564e-41
ACER2,1.2070202188357838e-98,1.5020232147051717e-98
ACER3,6.4093927490700365e-192,1.1383927999273973e-191
ACHE,5.348679574016404e-133,7.509024299521566e-133
ACIN1,0.0,0.0
ACKR1,0.0,0.0
ACKR2,1.3561610140478332e-116,1.7845488476560157e-116
ACKR3,3.081030675751116e-241,6.849246913053364e-241
ACKR4,3.261019760691427e-61,3.6652047337153725e-61
ACLY,6.0981734209868667e-179,1.0292819063470538e-178
ACMSD,0.0,0.0
ACO1,2.7653272736390292e-114,3.612009709438078e-114
ACO2,8.263787930592468e-95,1.017190341159909e-94
ACOD1,0.0,0.0
ACOT1,5.2863595465517266e-33,5.5485568107133e-33
ACOT11,4.445706178341268e-48,4.834589979696266e-48
ACOT12,0.0,0.0
ACOT13,2.5045888678190362e-76,2.9304631615339716e-76
ACOT2,7.069071139192716e-80,8.35214727299087e-80
ACOT4,1.2734581133652704e-39,1.3577891822785027e-39
ACOT6,0.0,0.0
ACOT7,5.02520644783088e-32,5.264850439336467e-32
ACOT8,8.085153180173288e-295,2.3902486751452208e-294
ACOT9,3.344895936585675e-124,4.5232517352254545e-124
ACOX1,2.6380546209932194e-138,3.7831560008562996e-138
ACOX2,6.4619391714179506e-173,1.068052315023165e-172
ACOX3,1.4583229304991575e-102,1.8350782724934473e-102
ACOXL,3.950043519068114e-232,8.409228107538072e-232
ACOXL-AS1,2.678382139347534e-199,4.915669220911728e-199
ACP1,5.340936368409621e-268,1.3563833989219403e-267
ACP2,2.8246257301130654e-204,5.304582610939904e-204
ACP5,4.776068255355813e-33,5.013869939417848e-33
ACP6,6.53094204151819e-74,7.587083584636703e-74
ACP7,9.090657385981603e-23,9.348070373150532e-23
ACR,1.6033952904327597e-115,2.1027895401528742e-115
ACRBP,4.189878745441528e-110,5.400423682194801e-110
ACRV1,0.0,0.0
ACSBG1,7.72186171126211e-49,8.416803675618938e-49
ACSBG2,8.61932090655774e-299,2.610170255854076e-298
ACSF2,1.4191855222933067e-91,1.7318772176435624e-91
ACSF3,5.133701092819657e-146,7.615381351786597e-146
ACSL1,0.0,0.0
ACSL3,4.761559200626362e-97,5.895995430527125e-97
ACSL4,6.705198542925827e-57,7.456914034310208e-57
ACSL5,3.6628844026857353e-91,4.4647281744632517e-91
ACSL6,4.588260657709378e-93,5.62064982086197e-93
ACSM1,2.6272701349464358e-82,3.121594983331961e-82
ACSM2A,5.42592133943458e-238,1.1872877106932311e-237
ACSM2B,5.402570421625914e-220,1.086744551699415e-219
ACSM3,1.203859697056513e-52,1.3247462440868496e-52
ACSM4,2.259536598575e-311,7.392862106805e-311
ACSM5,1.4626353926268582e-31,1.5309927841353328e-31
ACSM6,4.1815717250751657e-203,7.807047307665473e-203
ACSS1,0.0,0.0
ACSS2,0.0,0.0
ACSS3,5.8031230239313725e-25,5.986697038399315e-25
ACTA1,8.035516151067751e-238,1.756810595975538e-237
ACTA2,3.001037865805715e-123,4.0409319739347785e-123
ACTA2-AS1,0.0,0.0
ACTB,1.3695203912476994e-128,1.885198941055066e-128
ACTBL2,0.0,0.0
ACTC1,6.940098290163515e-120,9.231012306916508e-120
ACTG1,9.8491962551305e-122,1.3194919968469955e-121
ACTG1P17,8.497316234445597e-140,1.226904609192747e-139
ACTG1P20,0.0,0.0
ACTG2,7.954443125131003e-203,1.4829400689313053e-202
ACTL10,3.9078837551043026e-81,4.628825783389313e-81
ACTL6A,1.0351484516176415e-200,1.9130886137457522e-200
ACTL6B,0.0,0.0
ACTL7A,0.0,0.0
ACTL7B,0.0,0.0
ACTL8,0.0,0.0
ACTL9,0.0,0.0
ACTN1,6.422798826858747e-126,8.744516598048359e-126
ACTN2,5.4552383796631915e-42,5.849271571432279e-42
